contrast,dataset,gene,gene_set,present,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,fdr_within_contrast
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,KLF2,flow_mechanosensing,True,welch_t,22,4,9.419787935033197,9.342375001100045,0.07741293393315196,-0.6582151577149089,0.8130410255812128,0.8240481925865243,0.06727402876561032,0.9549017074780253
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,KLF4,flow_mechanosensing,True,welch_t,22,4,7.588939900874854,8.144322171351147,-0.5553822704762936,-1.7141760091385128,0.6034114681859255,0.2989100953480803,-0.3984035530995833,0.6556737575377244
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,LAMA4,ecm_integrin,True,welch_t,22,4,9.9998221336567,9.384405281920284,0.6154168517364162,-0.29958601957005304,1.5304197230428855,0.13037424649870155,1.3421775810273642,0.3854542939961611
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,LDHA,hypoxia_inflammation,True,welch_t,22,4,10.058780034082575,11.937241804856328,-1.878461770773752,-2.772943504294597,-0.9839800372529074,0.004114038050873136,-3.188825333654235,0.12559171273151462
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,MYH6,cardiac_stress,True,welch_t,22,4,13.74120787256361,14.36850625811441,-0.6272983855507999,-1.7163226084965697,0.46172583739497,0.23556274726894813,-0.37032816138585933,0.5523540280789129
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,MYH7,cardiac_stress,True,welch_t,22,4,17.901850386895248,18.08207509734256,-0.18022471044731248,-1.5021110388133847,1.1416616179187598,0.7519304197854302,-0.1299470416719821,0.9403331336943118
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NFKB1,hypoxia_inflammation,True,welch_t,22,4,7.893111780574423,7.949278229146453,-0.05616644857203035,-0.6766914211716506,0.5643585240275899,0.8425603301276693,-0.06818702041893089,0.9549017074780253
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NOS3,flow_mechanosensing,True,welch_t,22,4,7.63819406620261,8.930590032383005,-1.2923959661803952,-2.4755974381020813,-0.10919449425870908,0.03673895878372954,-1.0426259371087243,0.245985010155011
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NOTCH1,arterial_maturation,True,welch_t,22,4,8.93645094954968,9.84460898752154,-0.9081580379718588,-1.8556337185302558,0.03931764258653814,0.05884339890127577,-0.6203855569719848,0.2763355895032703
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NPPA,cardiac_stress,True,welch_t,22,4,9.510959465830679,9.023283839950967,0.4876756258797119,-2.1700289411379954,3.145380192897419,0.6513459160915944,0.2335738540619961,0.9403331336943118
